Date,Open,High,Low,Close,Adj Close,Volume
27/11/2017,98.309998,99.129997,97.93,97.93,95.736626,13076200
28/11/2017,98.209999,101.699997,97.970001,101.360001,99.089813,16773000
29/11/2017,102.410004,104.220001,101.959999,103.730003,101.406731,21105500
30/11/2017,104.739998,106.660004,104.040001,104.519997,102.179024,23945900
01/12/2017,104.900002,105.32,102.199997,104.790001,102.442986,19683500
04/12/2017,107.730003,108.400002,106.769997,106.949997,104.554604,23576600
05/12/2017,105.580002,107.410004,104.120003,105.720001,103.35215,17193900
06/12/2017,105.550003,105.760002,104.529999,104.93,102.579842,15476200
07/12/2017,103.949997,105.190002,103.730003,104.620003,102.276794,13371800
08/12/2017,104.75,105.940002,104.339996,105.93,103.557449,13506900
11/12/2017,105.720001,106.059998,105.309998,105.620003,103.254402,10591200
12/12/2017,106.910004,107.370003,105.540001,106.849998,104.456841,15508800
13/12/2017,106.699997,107.110001,105.480003,105.510002,103.146866,15020300
14/12/2017,106.120003,106.449997,104.639999,104.660004,102.315903,13034200
15/12/2017,105.790001,106.519997,105.199997,106.139999,103.762749,29350600
18/12/2017,107.190002,107.629997,106.480003,106.959999,104.564377,12713100
19/12/2017,107.349998,107.489998,106.440002,106.510002,104.124458,12149900
20/12/2017,107.599998,107.730003,106.089996,106.139999,103.762749,13091500
21/12/2017,106.589996,108.07,106.559998,107.830002,105.414894,12323700
22/12/2017,108.199997,108.459999,106.809998,107.449997,105.043396,14573400
26/12/2017,107.199997,107.989998,106.400002,107.019997,104.623039,7403700
27/12/2017,106.669998,107.290001,106.669998,107.220001,104.81855,9496500
28/12/2017,107.400002,107.839996,107.160004,107.790001,105.375793,7440600
29/12/2017,108.089996,108.279999,106.940002,106.940002,104.544838,8925700
02/01/2018,107.629997,108.019997,106.809998,107.949997,105.532196,13578800
03/01/2018,107.860001,108.489998,107.480003,108.059998,105.63974,11901000
04/01/2018,108.360001,110.029999,108.199997,109.040001,107.153099,12953700
05/01/2018,109.260002,109.550003,107.779999,108.339996,106.46521,14155000
08/01/2018,108.150002,108.68,107.699997,108.5,106.622444,12466500
09/01/2018,108.720001,109.629997,108.489998,109.050003,107.162933,13292300
10/01/2018,109.470001,110.699997,109.389999,110.25,108.342163,15834500
11/01/2018,110.669998,110.93,110.050003,110.839996,108.921944,13676800
12/01/2018,111.650002,112.849998,110.839996,112.669998,110.720276,18884200
16/01/2018,111.510002,113.43,111.07,112.269997,110.327202,22703300
17/01/2018,111.889999,113.300003,111.309998,112.989998,111.034744,14906600
18/01/2018,112.760002,113.720001,112.269997,113.260002,111.300072,14572900
19/01/2018,113.940002,114.339996,112.800003,113.010002,111.054398,18785500
22/01/2018,112.660004,114.389999,112.5,114.330002,112.351555,12475700
23/01/2018,113.669998,114.639999,113.349998,114.209999,112.233627,12320800
24/01/2018,114.860001,116,114.660004,115.669998,113.668373,15904500
25/01/2018,116.040001,116.169998,115.080002,115.699997,113.697845,13510000
26/01/2018,115.699997,116.32,114.959999,116.32,114.307114,13883900
29/01/2018,116.019997,117.349998,116.019997,116.199997,114.189186,11679900
30/01/2018,115.529999,116.599998,114.980003,115.110001,113.118065,14279100
31/01/2018,115.650002,116.660004,115.160004,115.669998,113.668373,13141400
01/02/2018,115.769997,116.989998,115.480003,116.870003,114.847603,13800600
02/02/2018,116.489998,116.919998,114.089996,114.279999,112.302422,16477300
05/02/2018,113,114.589996,103.980003,108.800003,106.917252,30097600
06/02/2018,106.849998,112.480003,106.610001,112.110001,110.169975,33114800
07/02/2018,111.550003,114.449997,111.150002,112.870003,110.916824,21878300
08/02/2018,113.110001,113.110001,107.839996,107.879997,106.013168,27425800
09/02/2018,109.099998,111.050003,106.230003,110.040001,108.135796,28188000
12/02/2018,111.169998,112.730003,110.07,111.739998,109.806366,18043300
13/02/2018,111.32,113.050003,110.800003,112.43,110.484436,16358200
14/02/2018,112.629997,115.269997,112.529999,115.029999,113.039436,15186900
15/02/2018,115.739998,115.989998,114.220001,115.510002,113.511139,12130200
16/02/2018,114.550003,116.07,114.5,114.68,112.695496,13214300
20/02/2018,114.650002,115.389999,113.970001,114.709999,112.724976,13461500
21/02/2018,115,117.449997,114.669998,115.190002,113.196671,14212500
22/02/2018,115.5,116.43,114.760002,114.980003,112.990311,17070400
23/02/2018,115.309998,117.389999,115.309998,117.309998,115.279984,12162500
26/02/2018,118.139999,118.900002,117.32,118.769997,116.714722,16511200
27/02/2018,118.910004,119.330002,117.349998,117.360001,115.329124,17563300
28/02/2018,117.82,118.489998,115.339996,115.5,113.501305,17735600
01/03/2018,115.480003,116.639999,112.650002,113.43,111.467133,18690000
02/03/2018,112.389999,113.559998,111.120003,113.32,111.359032,18353700
05/03/2018,112.050003,115.93,111.889999,115.059998,113.068924,13933000
06/03/2018,115.639999,115.82,114.32,115.160004,113.167198,10674400
07/03/2018,113.75,115.099998,113.110001,114.730003,112.744637,13006500
08/03/2018,115.110001,115.230003,113.209999,114.739998,112.754456,11173700
09/03/2018,116.550003,118.080002,115.669998,118.040001,115.99736,15366600
12/03/2018,118,118.75,117.25,117.660004,115.62394,12339300
13/03/2018,118.199997,118.470001,115.830002,116.25,114.238327,13312300
14/03/2018,116.559998,116.589996,114.599998,114.949997,112.960823,12905100
15/03/2018,115.870003,116,114.830002,115.239998,113.245804,8748000
16/03/2018,115.339996,116.599998,115.339996,115.440002,113.442352,19888900
19/03/2018,115.099998,115.449997,113.300003,114.529999,112.548096,13214900
20/03/2018,114.870003,115.449997,114.449997,114.639999,112.656197,9921200
21/03/2018,114.809998,116.629997,114.209999,114.739998,112.754456,13633000
22/03/2018,113.199997,113.599998,109.540001,109.949997,108.047348,22550400
23/03/2018,110.269997,110.919998,106.760002,107.010002,105.158234,23081500
26/03/2018,109.190002,111.160004,108.650002,110.309998,108.401115,20217500
27/03/2018,111.07,111.690002,107.300003,108.169998,106.298149,18039900
28/03/2018,108.279999,109.169998,106.650002,108,106.131096,19189300
29/03/2018,108.5,110.779999,107.779999,109.970001,108.067009,13274600
02/04/2018,109.959999,110.730003,106.080002,107.849998,105.983688,18822500
03/04/2018,108.360001,109.5,107.260002,109.330002,107.43808,14050700
04/04/2018,107.099998,111.209999,107.019997,110.989998,109.069351,15302600
05/04/2018,111.629997,112.830002,111.389999,111.879997,110.50148,16627000
06/04/2018,110.550003,111.550003,107.82,109.089996,107.745857,18906000
09/04/2018,110.010002,112.980003,109.889999,110.400002,109.039719,15974300
10/04/2018,112.129997,112.870003,111.419998,112.510002,111.123726,13951400
11/04/2018,111.660004,111.809998,110.519997,110.620003,109.257019,14503300
12/04/2018,111.559998,114.389999,111.5,113.370003,111.973129,16435500
13/04/2018,115.019997,115.150002,109.050003,110.300003,108.940956,39152800
16/04/2018,110.940002,111.470001,109.790001,110.209999,108.852058,16580500
